WaterLevel,Hm0,Steepness,BermWidth,BermLevel,Rc_m,Sim_Time_s,Gamma_b_used,q_star,Volume_m3
0.37,0.168,0.04,0.18,0.115,0.115,1640.1,0.894,0.006147512578564047,0.21745927110408203
0.37,0.168,0.04,0.29,0.115,0.115,1640.1,0.803,0.0038337925677807863,0.13561480789171368
0.37,0.168,0.04,0.18,0.069,0.115,1640.1,0.875,0.005618940834080892,0.19876181830303888
0.37,0.168,0.04,0.29,0.069,0.115,1640.1,0.768,0.0031015808974295123,0.10971389039156877
0.37,0.18,0.02,0.18,0.115,0.115,2400.9,0.971,0.02213851034142567,1.271359408218277
0.37,0.18,0.02,0.29,0.115,0.115,2400.9,0.947,0.02017396130062487,1.1585402588080895
0.37,0.18,0.02,0.18,0.069,0.115,2400.9,0.963,0.021485658806001257,1.2338677735540216
0.37,0.18,0.02,0.29,0.069,0.115,2400.9,0.932,0.019017938584888955,1.0921527587867013
0.37,0.18,0.04,0.18,0.115,0.115,1697.7,0.903,0.008444842397641789,0.34292290780545126
0.37,0.18,0.04,0.29,0.115,0.115,1697.7,0.82,0.005713884987166563,0.23202588780250505
0.37,0.18,0.04,0.18,0.069,0.115,1697.7,0.886,0.007834447904283429,0.318136387854607
0.37,0.18,0.04,0.29,0.069,0.115,1697.7,0.788,0.004807804865535594,0.19523234976073228
